Barau Dikko Teaching Hospital,Procurement of Radiology Equipment,PROJ/23050255,"LOT 1: Procurement of Radiology Equipment(Ultrasound system with Doppler facility and multiple probes, Static X-Ray Radiography system 500mA, and X-ray Flouroscopy system with remote control facility.",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,140697573,,Planned,Open,Goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Procurement of Internal Medicine Equip.,PROJ/23050256,"LOT 2: Procurement of Internal Medicine Equipment (Ambulatory B.P and ECG Monitors, Video Assisted Bronchoscope- color system including mounted suction unit).",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,29944336.45,,planned,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Procurement of EYE & ENT Equipment,PROJ/23050257,"LOT 3: Procurement of Ophthamology, Orthorhinolaryngology and Surgical Equipment(ENT Diagnostic pack, ENT Surgical pack, Ophthalmic pack, General Surgery pack,C/S pack, Gynaecology pack, Paediatric Surgical pack, Orthopaedic pack, Urology pack, Auditory Brainstorm Response Machine (ABR) MAICO, Auditory Brainstorm Response Machine (ABR) Interccostic and Humprey's Field Analyzer II-I SITA testing, Auto Refractor Keratometer).",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,49631457.88,,planned,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Procurement of Obstetrics& Gynaecology Equipnment,PROJ/23050258,"Lot 4: Procurement of Obstetrics& Gynaecology Equipnment (Complete Laparascopic set, Hysteroscope).",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,19521508.62,,planned,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Procurement of Physiotherapy Equipment,PROJ/23050259,"Lot 5: Procurement of Physiotherapy Equipment(Electrotherapy&Ultrasound Combo, Shortwave Diathermy Machine,Osteotron IV LIPUS (Low Intensity Pulse Ultrasound).",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,12506994.78,,planned,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Purchase of Motor Vehicles for Administrative Department,PROJ/23010171,"Lot 6: Procurement of Motor Vehicles for Administrative Department (Toyota Bus 18 seater, Official vehicles for Principal Administrative staff).",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,69353871.23,,planned,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Purchase of Generator & Transformer for the Hospital,PROJ/23010172,"Lot 7: Purchase of Generator & Transformer for the Hospital (800 KVA 50 HZ Generator, 800 KVA Transformer).",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,92132592.95,,planned,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Reactivation/Installation of Hospital Intercom,PROJ/23050391,Lot 8: Reactivation/Installtion of Hospital Intercom,Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,3927838.96,,planned,limited,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Renovation of Special Baby Care Unit (SCBU,PROJ/23050392,Lot 9: Renovation of Special Baby Care Unit (SCBU),Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,59987181.85,,planned,open,goods,qualityOnly,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Purchase/Renovation of a New Building,PROJ/23050393,"Lot 10: Purchase/Renovation of a New Building(General Out Patient Department,Medical Out Patient Department, Surgical Out Patient Department,Acciedent&Emergency).",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,400634447,,planned,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Construction of Dialysis Unit,PROJ/23020106,Lot 11: Construction of Dialysis Unit.,Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,137916936.9,,active,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Proposed Conversion of Office to Lecture Room and Furnishing of Paediatric Block,PROJ/23050394,Lot 12: Proposed Conversion of Office to Lecture Room and Furnishing of Paediatric Block.,Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,5585543.31,,planned,selective,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,Procurement and Installation of Laboratory Equipment and Furniture of Academic Block,PROJ/23010122,Lot 13: Procurement and Installation of Laboratory Equipment and Furniture of Academic Block.,Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,144011662.8,,active,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,"Procurement and Installation of Equipment and Furniture for Intensive Care, Dialysis, Theatre and Side Laboratory",PROJ/23050261,"Lot 14: Procurement and Installation of Equipment and Furniture for Intensive Care, Dialysis, Theatre and Side Laboratory.",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,305687398.3,,active,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
Barau Dikko Teaching Hospital,"Procurement of Furniture for Library Lecture Room, Seminar Room and Academic Block",PROJ/23010122,"Lot 15: Procurement of Furniture for Library Lecture Room, Seminar Room and Academic Block.",Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,64492382.42,,active,open,goods,Brand New,,,,,,,,,,,,,,pending,,,,,,,,,
,Renovation of Paediatric Out Patient Department,PROJ/23050395,Lot 16: Renovation of Paediatric Out Patient Department.,Kaduna North ,Kaduna,2018,KDSG 2018 Appropriation Budget,15090000,,active,,,,,,,,,,,,,,,,,pending,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
